date	tweet
10/31/2020 12:01	"The #6Nations is back! 🙌

Starting with #WALvSCO from 1:45pm on @BBCOne &amp; @bbciplayer, and #FRAvIRE from 7:30pm on… https://t.co/NSDbBP1Hag"
10/30/2020 20:01	"Tonight on the #GrahamNortonShow...

✨Jessie Buckley!
✨@BillBailey!
✨@octaviaspencer!
✨@FrankRGardner!
✨… https://t.co/Gv4uVlEVs0"
10/30/2020 15:36	"RT @HackerTDog: Want something fun to watch this #Halloween? Check out my birthday best bits film right here:
https://t.co/FkYVEeQmLW
Featu…"
10/30/2020 15:36	"RT @HackerTDog: Want something fun to watch this #Halloween? Check out my birthday best bits film right here:
https://t.co/FkYVEeQmLW
Featu…"
10/30/2020 10:55	"RT @bbcweather: Enjoy cloud gazing? Want to know more about them? Click on the button below to send us your recent cloud snaps, and Matt Ta…"
10/29/2020 17:01	"This is how you get demoted from bridesmaid to plus one. 💍 👰 😂  
@sarapascoe #OutOfHerMind
https://t.co/MKbccJISZN"
10/29/2020 14:54	"RT @HackerTDog: MY TOP NOTCH PAL @Linds_bluepeter INTERVIEWED @GretaThunberg FOR BLUE PETER. WATCH IT ALL HERE:
https://t.co/vQh1Ge7YKV
SHA…"
10/28/2020 17:01	"Legendary Japanese filmmakers Studio Ghibli make the everyday magical in animated classics, such as Spirited Away a… https://t.co/HA1L0dvhoF"
10/28/2020 16:17	"RT @bbcbitesize: We’re all different, and that’s a really really good thing 🙌

Dads Rich and Lew have some great advice for talking to youn…"
10/27/2020 17:01	"The NHS wants people who have recovered from coronavirus to donate their blood plasma

It's part of a trial looking… https://t.co/DkDizqhT7W"
10/26/2020 17:01	"The countdown is ON! 

#HisDarkMaterials returns Sunday 8 November on @BBCOne and @BBCiPlayer.
 
🌟 True fans will w… https://t.co/O0BaDa48zk"
10/25/2020 14:01	"Leech therapy is a centuries-old treatment that is still used on hundreds of NHS patients every year 😮

#Surgeons:… https://t.co/KaUY6SJ86E"
10/24/2020 19:01	"BAFTA-nominated drama #Apostasy follows a Jehovah's Witness congregation in Oldham.

10pm | @bbctwo &amp; @BBCiPlayer.… https://t.co/2AjR6REN5J"
10/23/2020 19:01	"Tonight on the #GrahamNortonShow...

✨@Springsteen!
✨Kristin Scott Thomas!
✨ @McConaughey!
✨ @MawaanR!
✨… https://t.co/OIuIoFfQHN"
10/23/2020 10:48	"Happy 90th Birthday @BBCSO 🎉

A fitting tribute from baritone and composer @Sviceridor #BBCSOat90

https://t.co/8SAcUsoxRt"
10/22/2020 19:01	"#MockTheWeek is back!  🙌

@daraobriain hosts panellists Hugh Dennis, @tomallencomedy, @AngelaBarnes, @rhysjamesy,… https://t.co/LNhE4MFxtO"
10/22/2020 10:51	RT @bbcpress: #DavidTennant and @MichaelSheen return with more #Staged for @BBCOne: https://t.co/2wVydhm8vM https://t.co/ZVUEjpRTUe
10/21/2020 19:01	"Brand new series #TheNoughties takes a light-hearted look at the decade that kicked off this century.

Tonight… https://t.co/kfue8npm1H"
10/20/2020 16:01	"The thief who changed the world - one acorn at a time
https://t.co/DTJglgJpDU"
10/19/2020 15:00	"One million plant and animal species face extinction, but you can make a difference.

#ExtinctionTheFacts is stream… https://t.co/2TjShCrACu"
10/18/2020 11:01	"What is a circuit-breaker lockdown?

https://t.co/1tf6maHGkc"
10/18/2020 10:29	RT @bbcstrictly: Our couples are complete. #Strictly 2020 is go! 💜✨ https://t.co/sl0aLuRhcM
10/17/2020 16:01	"Get ready to dance yourself happy... #Strictly's BACK! 💃✨

@bbcstrictly starts tonight at 7:50pm on @BBC One and… https://t.co/6Pg8t1FfB3"
10/17/2020 16:01	"Get ready to dance yourself happy... #Strictly's BACK! 💃✨

@bbcstrictly starts tonight at 7:50pm on @BBC One and… https://t.co/6Pg8t1FfB3"
10/16/2020 19:01	"Tonight on #TheGNShow...

✨Arsene Wenger!
✨@SamuelLJackson!
✨@Dawn_French!
✨@flintoff11!
✨Music fromMercury Prize w… https://t.co/FTPXzjledg"
10/15/2020 18:21	RT @BBCTheOneShow: Matt Baker explains a new #RickshawChallenge for 2020 taking place on the @Goodwood_Estate and the changes made to keep…
10/15/2020 10:08	"RT @BBCNewsPR: 🇺🇸 We’ve announced the details of the BBC #USElection2020 results coverage, led by @KattyKay_ and @afneil

Full details here…"
10/14/2020 16:01	"Hugh Laurie and Helen McCrory star in a brand new political thriller…
 
#Roadkill, coming soon to @BBCOne and… https://t.co/idUQSQgyv5"
10/13/2020 16:01	"These specially trained sniffer dogs in Lebanon are learning to detect Covid-19 🐶
https://t.co/9qx0xfvnmj"
10/13/2020 8:57	"RT @BBCCiN: Here's a sneak peak at our special short film, coming 15 October @BBCOne 🔜 https://t.co/DevFP5ecxT"
10/12/2020 16:01	"""More than 12 million Africans were trafficked. More than 2 million died en route. We thought it was worth telling… https://t.co/akCYMDFNBE"
10/11/2020 18:01	.@SamuelLJackson pieces together the beginnings and methods of the trans-Atlantic slave trade – a business that thr… https://t.co/0T1mqPV5w8
10/11/2020 16:01	"""To be sober and truthful as you can, it's not going to be paradise immediately…"" Sir David Attenborough on humanit… https://t.co/lucI19uje5"
10/10/2020 13:01	"Zak (@ZakBevis) trains young wrestlers in Norwich, building their confidence and making positive change in his comm… https://t.co/Nwa3BYiIso"
10/9/2020 19:01	"Tonight on #TheGNShow...

✨Ewan McGregor!
✨@ShirleyBallas!
✨@AshleyBanjo!
✨Frank Skinner!
✨Music from @MileyCyrus!… https://t.co/dWXcnN2uvd"
10/9/2020 17:01	"“We owe you.”

Mick Fleetwood thanks the man behind the viral video that’s made Fleetwood Mac's Dreams a hit all ov… https://t.co/G2LaxTOqQt"
10/9/2020 14:41	"RT @HackerTDog: HI COCKERS! I’VE BEEN ANSWERING YOUR QUESTIONS! WANT TO GET TO KNOW ME MORE THAN MY LOVE OF MEAT PASTE, WIGAN AND SUE BARKE…"
10/9/2020 12:39	"RT @bbcasiannetwork: 🚨 ANTHEM ALERT 🚨 ""Haathon ko dhona dhona, te mask nu pauna pena'' - @iharoonrashid and his friends have come up with a…"
10/8/2020 13:01	"""We're in a very, very dangerous and difficult time in the environment""

Prince William launches the Earthshot Priz… https://t.co/zkeEPcKsxg"
10/7/2020 16:01	"""What animal do you like?"" 🐒

Sir David Attenborough gets quizzed by two-year-old Prince Louis and his siblings. 
https://t.co/HpYjBqpx2A"
10/6/2020 16:01	"Join Jodie Whittaker, @davidwalliams, @thelizcarr and Ruth Jones as they trace their family ancestry, turning up a… https://t.co/ci5N5sIkJS"
10/5/2020 18:01	"The stories of ordinary people fighting for truth and justice following acts of terror.

In the Face of Terror star… https://t.co/Jt5lr4rETR"
10/5/2020 16:01	"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX"
10/5/2020 16:01	"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX"
10/4/2020 13:01	"@BBCiPlayer @sueperkins These are Japan’s remarkable free-diving grannies, who dive to depths of 30 feet!… https://t.co/lbGJjS1GbJ"
10/3/2020 15:01	"From A to ""Oh"" to Z.

#GavinAndStacey | @bbcthree

https://t.co/PjHtnwrPNV"
10/2/2020 19:01	"The #GrahamNorton Show is BACK!  🙌

This week's star studded line up, both in-studio and connecting remotely...

✨… https://t.co/v0DsDFxjLQ"
10/2/2020 18:31	"RT @BBC_TopGear: The #TopGear Ultimate Driving Mix on @BBCSounds 🎵 Listen to 15 classic driving anthems handpicked by @flintoff11, @PaddyMc…"
10/2/2020 16:01	This robot is smaller than the width of a hair  🤯- and scientists hope it will be used to hunt down and destroy can… https://t.co/MIWcSlXzj0
10/2/2020 12:09	RT @bbcpress: #ChildrenInNeed celebrates 40 fabulous years on Friday 13 November on @BBCOne: https://t.co/SEg6oCzL1p https://t.co/tD9K0XVaTi
10/1/2020 16:18	"RT @BBCWomansHour: ""I am not crying."" 😢 The legendary Jenni Murray @whjm signs off from Woman's Hour after 33 years. 👏

Listen to her final…"
9/30/2020 16:01	"A jet suit for ""flying"" paramedics is being tested by an air ambulance service in the north of England.
https://t.co/xrUVJEitkO"
9/30/2020 9:06	"RT @BBCSounds: Music, radio and podcasts to move you with the Power of BBC Sounds... 🎧⚡️🧡

Download the app now. https://t.co/qhDE8UhNSQ"
9/29/2020 16:01	Should cars have health warnings like cigarette packets? A viewpoint from author and campaigner @AndrewSimms_uk. https://t.co/3MgenRXYqs
