date,tweet
2020-10-31 12:01:00,"The #6Nations is back! 🙌

Starting with #WALvSCO from 1:45pm on @BBCOne &amp; @bbciplayer, and #FRAvIRE from 7:30pm on… https://t.co/NSDbBP1Hag"
2020-10-30 20:01:00,"Tonight on the #GrahamNortonShow...

✨Jessie Buckley!
✨@BillBailey!
✨@octaviaspencer!
✨@FrankRGardner!
✨… https://t.co/Gv4uVlEVs0"
2020-10-30 15:36:22,"RT @HackerTDog: Want something fun to watch this #Halloween? Check out my birthday best bits film right here:
https://t.co/FkYVEeQmLW
Featu…"
2020-10-30 15:36:22,"RT @HackerTDog: Want something fun to watch this #Halloween? Check out my birthday best bits film right here:
https://t.co/FkYVEeQmLW
Featu…"
2020-10-30 10:55:47,"RT @bbcweather: Enjoy cloud gazing? Want to know more about them? Click on the button below to send us your recent cloud snaps, and Matt Ta…"
2020-10-29 17:01:00,"This is how you get demoted from bridesmaid to plus one. 💍 👰 😂  
@sarapascoe #OutOfHerMind
https://t.co/MKbccJISZN"
2020-10-29 14:54:07,"RT @HackerTDog: MY TOP NOTCH PAL @Linds_bluepeter INTERVIEWED @GretaThunberg FOR BLUE PETER. WATCH IT ALL HERE:
https://t.co/vQh1Ge7YKV
SHA…"
2020-10-28 17:01:00,"Legendary Japanese filmmakers Studio Ghibli make the everyday magical in animated classics, such as Spirited Away a… https://t.co/HA1L0dvhoF"
2020-10-28 16:17:50,"RT @bbcbitesize: We’re all different, and that’s a really really good thing 🙌

Dads Rich and Lew have some great advice for talking to youn…"
2020-10-27 17:01:00,"The NHS wants people who have recovered from coronavirus to donate their blood plasma

It's part of a trial looking… https://t.co/DkDizqhT7W"
2020-10-26 17:01:00,"The countdown is ON! 

#HisDarkMaterials returns Sunday 8 November on @BBCOne and @BBCiPlayer.
 
🌟 True fans will w… https://t.co/O0BaDa48zk"
2020-10-25 14:01:00,"Leech therapy is a centuries-old treatment that is still used on hundreds of NHS patients every year 😮

#Surgeons:… https://t.co/KaUY6SJ86E"
2020-10-24 19:01:00,"BAFTA-nominated drama #Apostasy follows a Jehovah's Witness congregation in Oldham.

10pm | @bbctwo &amp; @BBCiPlayer.… https://t.co/2AjR6REN5J"
2020-10-23 19:01:00,"Tonight on the #GrahamNortonShow...

✨@Springsteen!
✨Kristin Scott Thomas!
✨ @McConaughey!
✨ @MawaanR!
✨… https://t.co/OIuIoFfQHN"
2020-10-23 10:48:48,"Happy 90th Birthday @BBCSO 🎉

A fitting tribute from baritone and composer @Sviceridor #BBCSOat90

https://t.co/8SAcUsoxRt"
2020-10-22 19:01:00,"#MockTheWeek is back!  🙌

@daraobriain hosts panellists Hugh Dennis, @tomallencomedy, @AngelaBarnes, @rhysjamesy,… https://t.co/LNhE4MFxtO"
2020-10-22 10:51:18,RT @bbcpress: #DavidTennant and @MichaelSheen return with more #Staged for @BBCOne: https://t.co/2wVydhm8vM https://t.co/ZVUEjpRTUe
2020-10-21 19:01:00,"Brand new series #TheNoughties takes a light-hearted look at the decade that kicked off this century.

Tonight… https://t.co/kfue8npm1H"
2020-10-20 16:01:00,"The thief who changed the world - one acorn at a time
https://t.co/DTJglgJpDU"
2020-10-19 15:00:02,"One million plant and animal species face extinction, but you can make a difference.

#ExtinctionTheFacts is stream… https://t.co/2TjShCrACu"
2020-10-18 11:01:00,"What is a circuit-breaker lockdown?

https://t.co/1tf6maHGkc"
2020-10-18 10:29:03,RT @bbcstrictly: Our couples are complete. #Strictly 2020 is go! 💜✨ https://t.co/sl0aLuRhcM
2020-10-17 16:01:00,"Get ready to dance yourself happy... #Strictly's BACK! 💃✨

@bbcstrictly starts tonight at 7:50pm on @BBC One and… https://t.co/6Pg8t1FfB3"
2020-10-17 16:01:00,"Get ready to dance yourself happy... #Strictly's BACK! 💃✨

@bbcstrictly starts tonight at 7:50pm on @BBC One and… https://t.co/6Pg8t1FfB3"
2020-10-16 19:01:00,"Tonight on #TheGNShow...

✨Arsene Wenger!
✨@SamuelLJackson!
✨@Dawn_French!
✨@flintoff11!
✨Music fromMercury Prize w… https://t.co/FTPXzjledg"
2020-10-15 18:21:00,RT @BBCTheOneShow: Matt Baker explains a new #RickshawChallenge for 2020 taking place on the @Goodwood_Estate and the changes made to keep…
2020-10-15 10:08:47,"RT @BBCNewsPR: 🇺🇸 We’ve announced the details of the BBC #USElection2020 results coverage, led by @KattyKay_ and @afneil

Full details here…"
2020-10-14 16:01:00,"Hugh Laurie and Helen McCrory star in a brand new political thriller…
 
#Roadkill, coming soon to @BBCOne and… https://t.co/idUQSQgyv5"
2020-10-13 16:01:00,"These specially trained sniffer dogs in Lebanon are learning to detect Covid-19 🐶
https://t.co/9qx0xfvnmj"
2020-10-13 08:57:59,"RT @BBCCiN: Here's a sneak peak at our special short film, coming 15 October @BBCOne 🔜 https://t.co/DevFP5ecxT"
2020-10-12 16:01:00,"""More than 12 million Africans were trafficked. More than 2 million died en route. We thought it was worth telling… https://t.co/akCYMDFNBE"
2020-10-11 18:01:00,.@SamuelLJackson pieces together the beginnings and methods of the trans-Atlantic slave trade – a business that thr… https://t.co/0T1mqPV5w8
2020-10-11 16:01:00,"""To be sober and truthful as you can, it's not going to be paradise immediately…"" Sir David Attenborough on humanit… https://t.co/lucI19uje5"
2020-10-10 13:01:00,"Zak (@ZakBevis) trains young wrestlers in Norwich, building their confidence and making positive change in his comm… https://t.co/Nwa3BYiIso"
2020-10-09 19:01:00,"Tonight on #TheGNShow...

✨Ewan McGregor!
✨@ShirleyBallas!
✨@AshleyBanjo!
✨Frank Skinner!
✨Music from @MileyCyrus!… https://t.co/dWXcnN2uvd"
2020-10-09 17:01:00,"“We owe you.”

Mick Fleetwood thanks the man behind the viral video that’s made Fleetwood Mac's Dreams a hit all ov… https://t.co/G2LaxTOqQt"
2020-10-09 14:41:11,"RT @HackerTDog: HI COCKERS! I’VE BEEN ANSWERING YOUR QUESTIONS! WANT TO GET TO KNOW ME MORE THAN MY LOVE OF MEAT PASTE, WIGAN AND SUE BARKE…"
2020-10-09 12:39:55,"RT @bbcasiannetwork: 🚨 ANTHEM ALERT 🚨 ""Haathon ko dhona dhona, te mask nu pauna pena'' - @iharoonrashid and his friends have come up with a…"
2020-10-08 13:01:00,"""We're in a very, very dangerous and difficult time in the environment""

Prince William launches the Earthshot Priz… https://t.co/zkeEPcKsxg"
2020-10-07 16:01:00,"""What animal do you like?"" 🐒

Sir David Attenborough gets quizzed by two-year-old Prince Louis and his siblings. 
https://t.co/HpYjBqpx2A"
2020-10-06 16:01:00,"Join Jodie Whittaker, @davidwalliams, @thelizcarr and Ruth Jones as they trace their family ancestry, turning up a… https://t.co/ci5N5sIkJS"
2020-10-05 18:01:00,"The stories of ordinary people fighting for truth and justice following acts of terror.

In the Face of Terror star… https://t.co/Jt5lr4rETR"
2020-10-05 16:01:00,"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX"
2020-10-05 16:01:00,"""The currency that we deal in is the most valuable thing on the planet. It's human life.""

Brand new #Surgeons: At… https://t.co/zrQKGySseX"
2020-10-04 13:01:00,"@BBCiPlayer @sueperkins These are Japan’s remarkable free-diving grannies, who dive to depths of 30 feet!… https://t.co/lbGJjS1GbJ"
2020-10-03 15:01:00,"From A to ""Oh"" to Z.

#GavinAndStacey | @bbcthree

https://t.co/PjHtnwrPNV"
2020-10-02 19:01:00,"The #GrahamNorton Show is BACK!  🙌

This week's star studded line up, both in-studio and connecting remotely...

✨… https://t.co/v0DsDFxjLQ"
